FID,file_name,impd_code,site_name,site_code,Contributo,Longitude,Latitude,Reference
594, , ,Mica Mountain,03_01,Farris_CA,-110.5433379,32.22861641,Farris_et_al_2010
595, , ,Mica Mountain,03_01B,Farris_CA,-110.5477153,32.22766686,Farris_et_al_2010
596, , ,Mica Mountain,03_04B,Farris_CA,-110.5356688,32.22777655,Farris_et_al_2010
597, , ,Mica Mountain,03_04C,Farris_CA,-110.5392883,32.22139364,Farris_et_al_2010
598, , ,Mica Mountain,03_05B,Farris_CA,-110.5265696,32.22645274,Farris_et_al_2010
599, , ,Mica Mountain,03_07B,Farris_CA,-110.549477,32.22122287,Farris_et_al_2010
600, , ,Mica Mountain,03_07C,Farris_CA,-110.5494067,32.21396943,Farris_et_al_2010
601, , ,Mica Mountain,03_08B,Farris_CA,-110.5345412,32.21370808,Farris_et_al_2010
602, , ,Mica Mountain,03_08C,Farris_CA,-110.5350636,32.21948369,Farris_et_al_2010
603, , ,Mica Mountain,03_08D,Farris_CA,-110.530988,32.21958591,Farris_et_al_2010
604, , ,Mica Mountain,03_08X,Farris_CA,-110.5328925,32.21655276,Farris_et_al_2010
